Model Serial,AUROC,Calibration Slope,Brier,Net Benefit,Sensitivity,Specificity,PPV,NPV,F1,Mean Rank
05022026_104658_84150,0.777838092136214,1.0856949799100846,0.08904505521059036,0.04166397469000951,0.5573770491803278,0.8609271523178808,0.35051546391752575,0.935251798561151,0.43037974683544306,53.111111111111114
05022026_222112_95784,0.7767886222994245,1.0458724084059932,0.08952569216489792,0.044221057011103515,0.6885245901639344,0.7483443708609272,0.2692307692307692,0.946927374301676,0.3870967741935484,53.27777777777778
04022026_213746_14869,0.7772228856801651,1.036121239658598,0.08864434063434601,0.039455911082633285,0.5901639344262295,0.8322295805739515,0.32142857142857145,0.9378109452736318,0.4161849710982659,53.27777777777778
06022026_030816_98079,0.7681033546846162,1.0587297227465113,0.08783433586359024,0.0539478273444516,0.7704918032786885,0.6622516556291391,0.235,0.9554140127388535,0.36015325670498083,53.333333333333336
04022026_204239_32202,0.7819816885607788,1.1022921255029436,0.08872252475513309,0.03500772111307387,0.5409836065573771,0.869757174392936,0.358695652173913,0.933649289099526,0.43137254901960786,53.72222222222222
05022026_123748_52767,0.7753048890818949,1.0694605161195925,0.08906722813844681,0.04179289539068802,0.5737704918032787,0.847682119205298,0.33653846153846156,0.9365853658536586,0.42424242424242425,54.333333333333336
05022026_111810_43971,0.7668729417725184,1.081664179353014,0.08918948144355171,0.04377163303824889,0.5901639344262295,0.847682119205298,0.34285714285714286,0.9388753056234719,0.43373493975903615,54.55555555555556
05022026_134129_99453,0.7770962255274492,1.1009079992359545,0.08909981697797775,0.05755910196058266,0.7868852459016393,0.6512141280353201,0.23300970873786409,0.9577922077922078,0.3595505617977528,54.833333333333336
05022026_153436_96718,0.7855100785292947,1.1913373662786964,0.089127317070961,0.05810086361664924,0.819672131147541,0.6225165562913907,0.22624434389140272,0.962457337883959,0.3546099290780142,55.27777777777778
05022026_133551_45466,0.7804436724206567,1.1839581034037792,0.09045736491680145,0.061515778043329826,0.7868852459016393,0.6578366445916115,0.23645320197044334,0.9581993569131833,0.36363636363636365,55.44444444444444
05022026_103120_84809,0.7809322187239894,1.1291534941483685,0.08911938965320587,0.04409310938198099,0.6721311475409836,0.7593818984547461,0.2733333333333333,0.945054945054945,0.3886255924170616,55.833333333333336
05022026_143422_91569,0.7686823725256033,1.052007164028652,0.08850501477718353,0.05637821334363125,0.7540983606557377,0.6688741721854304,0.23469387755102042,0.9528301886792453,0.35797665369649806,56.388888888888886
05022026_140401_57655,0.773477364021279,1.077785431191869,0.08811753243207932,0.04607657863427142,0.7213114754098361,0.6931567328918322,0.24043715846994534,0.9486404833836858,0.36065573770491804,56.44444444444444
05022026_152808_74637,0.7821264430210254,1.172303087571633,0.08813502639532089,0.050132505096453416,0.8032786885245902,0.6291390728476821,0.22580645161290322,0.9595959595959596,0.35251798561151076,56.55555555555556
